model_type,network_structure,relative_error,k
PINN,7x50,0.708684512559581,4
IA_PINN,7x50,0.033123603857511695,4
IAW_PINN,7x50,0.6288099603330838,4
I_PINN,7x50,0.003800650440714669,4
