Iteration,Loss
0,11934.658203125
1,9846.7529296875
2,9289.1533203125
3,10692.580078125
4,11099.689453125
5,10070.767578125
6,10652.037109375
7,10114.62109375
8,9134.2939453125
9,8881.708984375
10,9151.7392578125
11,8203.0693359375
12,10369.8857421875
13,10104.98828125
14,10559.181640625
15,7916.36962890625
16,8848.9599609375
17,10214.2001953125
18,9963.03515625
19,9663.1962890625
20,8554.9716796875
21,9951.3154296875
22,9516.4287109375
23,10327.4091796875
24,10856.8828125
25,10249.7119140625
26,9708.1884765625
27,12098.5087890625
28,10872.8681640625
29,10114.65234375
30,9185.6640625
31,9736.5146484375
32,9457.3134765625
33,10182.978515625
34,10374.853515625
35,10418.583984375
36,10225.1708984375
37,9344.017578125
38,10020.009765625
39,11056.8525390625
40,9480.0478515625
41,8375.2060546875
42,10210.41015625
43,9520.7314453125
44,9653.7666015625
45,9461.064453125
46,12684.982421875
47,10085.1435546875
48,8435.94921875
49,9386.1025390625
50,9159.08203125
51,9129.9150390625
52,8956.033203125
53,10412.8271484375
54,9068.857421875
55,7729.21826171875
56,9761.0888671875
57,9790.302734375
58,8746.0546875
59,9294.84375
60,9350.95703125
61,9409.9228515625
62,7794.3388671875
63,6660.47509765625
64,9112.517578125
65,8751.2919921875
66,7697.87744140625
67,8565.9443359375
68,7823.44775390625
69,7637.8759765625
70,6914.3994140625
71,7908.9677734375
72,7106.251953125
73,5974.02685546875
74,7078.8193359375
75,6120.9892578125
76,6234.8935546875
77,6252.33154296875
78,6824.82666015625
79,6978.95263671875
80,5595.56103515625
81,4812.2333984375
82,6303.908203125
83,4248.61376953125
84,5572.158203125
85,4144.8798828125
86,4639.02734375
87,3533.968017578125
88,4113.2685546875
89,4222.263671875
90,4349.5576171875
91,3778.85205078125
92,4135.38134765625
93,3650.143310546875
94,3941.84130859375
95,2946.451904296875
96,3700.802490234375
97,3369.81396484375
98,4487.00830078125
99,3044.66357421875
100,2823.656005859375
101,3012.33837890625
102,2424.07568359375
103,2148.67041015625
104,1924.789794921875
105,2368.298095703125
106,2255.824462890625
107,2073.191650390625
108,1906.0067138671875
109,1629.1580810546875
110,2430.7353515625
111,1851.0682373046875
112,1219.7257080078125
113,1535.3187255859375
114,1662.150634765625
115,1431.700439453125
116,1578.521240234375
117,1174.9462890625
118,1353.7772216796875
119,1670.0924072265625
120,1108.272216796875
121,1685.258056640625
122,1254.6343994140625
123,1161.72998046875
124,989.9596557617188
125,1136.3406982421875
126,1158.9642333984375
127,1358.7547607421875
128,1017.5986938476562
129,834.6109619140625
130,963.9658813476562
131,1224.0186767578125
132,806.4176025390625
133,815.1144409179688
134,916.6056518554688
135,673.4077758789062
136,622.065185546875
137,732.6336669921875
138,599.9544067382812
139,687.3739624023438
140,755.5399169921875
141,565.977294921875
142,524.1957397460938
143,686.3112182617188
144,624.5166625976562
145,502.6652526855469
146,590.3455810546875
147,563.89404296875
148,536.820068359375
149,647.895751953125
150,397.9482727050781
151,525.5826416015625
152,469.91656494140625
153,474.8892822265625
154,294.0505676269531
155,429.66796875
156,481.00164794921875
157,417.4161682128906
158,361.2407531738281
159,372.0293884277344
160,374.2662658691406
161,316.9897766113281
162,312.52783203125
163,273.9238586425781
164,292.3017272949219
165,296.1993713378906
166,217.88482666015625
167,337.2687683105469
168,355.485595703125
169,270.4613952636719
170,278.1844177246094
171,254.06961059570312
172,323.3990783691406
173,329.24627685546875
174,266.9812927246094
175,222.83689880371094
176,211.48867797851562
177,174.2740478515625
178,229.5068817138672
179,204.3029327392578
180,245.36866760253906
181,205.5767822265625
182,154.5598907470703
183,130.47987365722656
184,232.6470489501953
185,189.9315185546875
186,144.65306091308594
187,169.1959991455078
188,105.06681823730469
189,212.83543395996094
190,181.1793975830078
191,135.4327392578125
192,132.42613220214844
193,141.94000244140625
194,132.58493041992188
195,134.28465270996094
196,118.33956146240234
197,159.7565155029297
198,170.286865234375
199,124.427001953125
200,129.48077392578125
201,141.0371856689453
202,132.63987731933594
203,114.3568115234375
204,132.7729034423828
205,114.2780990600586
206,110.96726989746094
207,122.15473937988281
208,140.6519317626953
209,108.9997329711914
210,112.04041290283203
211,135.1676788330078
212,95.22257232666016
213,83.8607406616211
214,110.37433624267578
215,106.64550018310547
216,87.12325286865234
217,109.58985900878906
218,99.49342346191406
219,100.32169342041016
220,87.45209503173828
221,60.11922836303711
222,82.78962707519531
223,125.59807586669922
224,81.47210693359375
225,86.6720199584961
226,64.32833862304688
227,81.3559799194336
228,65.38267517089844
229,74.20553588867188
230,67.59314727783203
231,62.2808837890625
232,54.4313850402832
233,68.8720703125
234,60.8211784362793
235,74.07244873046875
236,87.73762512207031
237,67.39691925048828
238,89.22724151611328
239,100.4712142944336
240,67.31775665283203
241,54.13102722167969
242,73.73561096191406
243,70.88788604736328
244,61.071414947509766
245,65.80083465576172
246,78.56147766113281
247,70.20455932617188
248,51.25575256347656
249,63.52301025390625
250,72.28465270996094
251,58.29471206665039
252,67.34211730957031
253,59.60677719116211
254,48.66822052001953
255,53.03268814086914
256,48.55070114135742
257,61.9166259765625
258,50.796939849853516
259,58.995399475097656
260,47.35989761352539
261,55.82880401611328
262,51.90265655517578
263,47.94824981689453
264,49.605777740478516
265,45.294029235839844
266,46.00347900390625
267,44.285125732421875
268,50.484779357910156
269,46.08167266845703
270,51.514095306396484
271,55.587249755859375
272,37.93843078613281
273,39.27217102050781
274,44.684326171875
275,41.65898513793945
276,38.48101806640625
277,41.03408432006836
278,44.507728576660156
279,44.314491271972656
280,36.805747985839844
281,36.37269592285156
282,39.343971252441406
283,29.52254295349121
284,31.897550582885742
285,38.18048095703125
286,36.11701583862305
287,34.80471420288086
288,36.48722839355469
289,32.2947883605957
290,30.755767822265625
291,34.83159255981445
292,29.11311149597168
293,29.973480224609375
294,34.13521957397461
295,35.552040100097656
296,28.232757568359375
297,34.644317626953125
298,30.74276351928711
299,31.319873809814453
300,30.782154083251953
301,29.440383911132812
302,33.27684020996094
303,32.96879959106445
304,31.90436363220215
305,28.39375877380371
306,29.4194278717041
307,33.52309036254883
308,27.794628143310547
309,28.881256103515625
310,25.755203247070312
311,30.570980072021484
312,34.33431625366211
313,30.454452514648438
314,32.440311431884766
315,27.700021743774414
316,29.714149475097656
317,31.96794891357422
318,26.011615753173828
319,25.356487274169922
320,25.567859649658203
321,26.95756721496582
322,27.433277130126953
323,26.15755844116211
324,24.63249969482422
325,22.052080154418945
326,28.03499984741211
327,22.70407485961914
328,23.385406494140625
329,25.698284149169922
330,26.257375717163086
331,25.29201889038086
332,19.35608673095703
333,28.67669677734375
334,23.227537155151367
335,27.63577651977539
336,25.809249877929688
337,25.085609436035156
338,28.733884811401367
339,23.310354232788086
340,21.3028564453125
341,27.781654357910156
342,25.769075393676758
343,27.018198013305664
344,29.17872428894043
345,27.078617095947266
346,21.50666046142578
347,22.792787551879883
348,24.694164276123047
349,23.83355712890625
350,23.482627868652344
351,22.717466354370117
352,19.98124885559082
353,20.34920310974121
354,23.877376556396484
355,24.239349365234375
356,21.396100997924805
357,20.290916442871094
358,23.67241859436035
359,22.788082122802734
360,20.313777923583984
361,20.41239356994629
362,23.392311096191406
363,20.563932418823242
364,22.977359771728516
365,22.045442581176758
366,20.463523864746094
367,17.797927856445312
368,19.228023529052734
369,18.735380172729492
370,24.4274959564209
371,18.78227424621582
372,17.32686996459961
373,21.085994720458984
374,21.082691192626953
375,17.18502426147461
376,21.360666275024414
377,18.0931453704834
378,20.790346145629883
379,21.136505126953125
380,21.39747428894043
381,20.12580108642578
382,20.397354125976562
383,18.681787490844727
384,16.80489730834961
385,19.539974212646484
386,19.747472763061523
387,17.483877182006836
388,17.654865264892578
389,16.760601043701172
390,19.57560920715332
391,20.178691864013672
392,19.201374053955078
393,16.724781036376953
394,18.598207473754883
395,18.027376174926758
396,19.972497940063477
397,15.61311149597168
398,15.729740142822266
399,18.341903686523438
400,18.116498947143555
401,20.072946548461914
402,17.56279754638672
403,18.235427856445312
404,18.59524917602539
405,19.356067657470703
406,18.837045669555664
407,17.386098861694336
408,16.72321128845215
409,21.80297088623047
410,14.404586791992188
411,19.979896545410156
412,22.503786087036133
413,13.376139640808105
414,16.859996795654297
415,19.032316207885742
416,17.507835388183594
417,15.458555221557617
418,17.733041763305664
419,16.893896102905273
420,15.562906265258789
421,13.373187065124512
422,16.84592628479004
423,20.988454818725586
424,17.57961654663086
425,14.40689468383789
426,16.591262817382812
427,14.406402587890625
428,14.997540473937988
429,15.234561920166016
430,14.636065483093262
431,13.481876373291016
432,13.931585311889648
433,15.72311019897461
434,17.47541618347168
435,14.415055274963379
436,12.852258682250977
437,14.408767700195312
438,18.383892059326172
439,14.996007919311523
440,14.844831466674805
441,12.886874198913574
442,14.54829216003418
443,12.950652122497559
444,15.642324447631836
445,15.231439590454102
446,15.325075149536133
447,14.450624465942383
448,16.69036865234375
449,13.290035247802734
450,16.018775939941406
451,17.179487228393555
452,13.614933013916016
453,15.703692436218262
454,16.270938873291016
455,13.743266105651855
456,14.330101013183594
457,13.868579864501953
458,15.321157455444336
459,13.393556594848633
460,17.830928802490234
461,12.041585922241211
462,13.477213859558105
463,13.298933029174805
464,14.938801765441895
465,15.311779975891113
466,12.824264526367188
467,13.163912773132324
468,14.302461624145508
469,12.598512649536133
470,14.21865463256836
471,12.250718116760254
472,13.660405158996582
473,14.460742950439453
474,14.375999450683594
475,11.725525856018066
476,17.109539031982422
477,12.25173568725586
478,14.580656051635742
479,15.225484848022461
480,14.687618255615234
481,13.991935729980469
482,13.572168350219727
483,15.535093307495117
484,13.340676307678223
485,11.517448425292969
486,12.687299728393555
487,14.61870002746582
488,14.770185470581055
489,11.508220672607422
490,14.498013496398926
491,14.609338760375977
492,12.539007186889648
493,12.457281112670898
494,19.5219783782959
495,12.29455852508545
496,12.746635437011719
497,12.767852783203125
498,12.522250175476074
499,11.950028419494629
500,11.389261245727539
501,12.305536270141602
502,13.393678665161133
503,10.426126480102539
504,11.670154571533203
505,10.840465545654297
506,12.378875732421875
507,11.8048677444458
508,11.085143089294434
509,16.020708084106445
510,10.049175262451172
511,13.464308738708496
512,12.831307411193848
513,11.99161148071289
514,11.887077331542969
515,13.126720428466797
516,11.147912979125977
517,10.902000427246094
518,11.61214828491211
519,12.321540832519531
520,12.209527969360352
521,10.606359481811523
522,17.89663314819336
523,12.192586898803711
524,11.24251651763916
525,13.340230941772461
526,10.534440994262695
527,10.53672981262207
528,11.141702651977539
529,10.065576553344727
530,10.066701889038086
531,10.167011260986328
532,12.720991134643555
533,10.8673095703125
534,11.529794692993164
535,9.302148818969727
536,10.900490760803223
537,10.297595977783203
538,11.669466972351074
539,9.689393997192383
540,10.663901329040527
541,9.604019165039062
542,9.183923721313477
543,11.67099380493164
544,10.51668930053711
545,13.7738676071167
546,11.969941139221191
547,11.292051315307617
548,11.390251159667969
549,12.384438514709473
550,10.103074073791504
551,10.093274116516113
552,12.03930950164795
553,10.27491283416748
554,10.029837608337402
555,9.20859146118164
556,11.753898620605469
557,9.612675666809082
558,10.350122451782227
559,10.896940231323242
560,10.522948265075684
561,9.376432418823242
562,10.770142555236816
563,11.133429527282715
564,11.600282669067383
565,9.637430191040039
566,10.854427337646484
567,11.953388214111328
568,11.136707305908203
569,12.27969741821289
570,10.36591911315918
571,9.199906349182129
572,11.798120498657227
573,13.364992141723633
574,9.419417381286621
575,11.199209213256836
576,12.042855262756348
577,12.768192291259766
578,9.965923309326172
579,11.695442199707031
580,12.720670700073242
581,9.821545600891113
582,10.605585098266602
583,9.240286827087402
584,10.420988082885742
585,9.653485298156738
586,8.424795150756836
587,10.171453475952148
588,8.626935958862305
589,9.155987739562988
590,9.209779739379883
591,9.29731559753418
592,9.916208267211914
593,10.865583419799805
594,9.076202392578125
595,10.435341835021973
596,11.621381759643555
597,10.19014835357666
598,11.354207038879395
599,14.065749168395996
600,9.594942092895508
601,11.099921226501465
602,10.40532112121582
603,9.669220924377441
604,9.33881664276123
605,8.848369598388672
606,14.12230110168457
607,10.659262657165527
608,15.289043426513672
609,11.393745422363281
610,11.49027156829834
611,12.061342239379883
612,10.8779878616333
613,12.535313606262207
614,11.48170280456543
615,9.577152252197266
616,11.933079719543457
617,12.004636764526367
618,12.532464027404785
619,11.512504577636719
620,14.56185531616211
621,10.643346786499023
622,11.852630615234375
623,11.353339195251465
624,12.234188079833984
625,11.807771682739258
626,10.51916790008545
627,9.42464828491211
628,12.888853073120117
629,9.330078125
630,11.053439140319824
631,11.297195434570312
632,12.529085159301758
633,11.127195358276367
634,12.32613468170166
635,13.825040817260742
636,12.046936988830566
637,9.129867553710938
638,11.642395973205566
639,14.767783164978027
640,11.36545467376709
641,9.423576354980469
642,10.197345733642578
643,16.52383041381836
644,17.89716339111328
645,12.229613304138184
646,16.127262115478516
647,18.054534912109375
648,10.55340576171875
649,13.015881538391113
650,15.90452766418457
651,16.28441619873047
652,8.960399627685547
653,17.308502197265625
654,15.699594497680664
655,11.106182098388672
656,9.579686164855957
657,17.756248474121094
658,17.24125099182129
659,8.241617202758789
660,13.343619346618652
661,24.047731399536133
662,11.091697692871094
663,15.352477073669434
664,18.431791305541992
665,14.432601928710938
666,9.276598930358887
667,11.85019302368164
668,16.430604934692383
669,13.545523643493652
670,10.118947982788086
671,23.044689178466797
672,9.86405086517334
673,8.386402130126953
674,12.636224746704102
675,15.571046829223633
676,9.553857803344727
677,9.733558654785156
678,10.31804370880127
679,12.115119934082031
680,10.363356590270996
681,8.186162948608398
682,11.994708061218262
683,13.394474983215332
684,9.174261093139648
685,7.629219055175781
686,15.455899238586426
687,9.305537223815918
688,9.36097526550293
689,11.34228229522705
690,16.14670753479004
691,10.411605834960938
692,10.340320587158203
693,10.984455108642578
694,8.086499214172363
695,7.784972667694092
696,8.924483299255371
697,10.208630561828613
698,8.582666397094727
699,7.2889838218688965
700,7.59336519241333
701,7.805863380432129
702,7.82276725769043
703,8.125266075134277
704,10.11245346069336
705,8.016300201416016
706,6.906618118286133
707,8.754301071166992
708,7.098021507263184
709,9.566375732421875
710,8.16479778289795
711,8.22902774810791
712,8.273431777954102
713,7.377377510070801
714,6.9484453201293945
715,8.06655502319336
716,7.462364196777344
717,7.9137420654296875
718,6.378994941711426
719,6.394883155822754
720,7.0856781005859375
721,6.891541481018066
722,6.635673522949219
723,6.253347396850586
724,7.278570652008057
725,6.523284912109375
726,7.25710391998291
727,7.407190322875977
728,7.259821891784668
729,9.515572547912598
730,6.48695182800293
731,7.08015251159668
732,10.948451042175293
733,8.01004695892334
734,7.9387431144714355
735,6.775012016296387
736,8.710145950317383
737,7.400750160217285
738,8.176956176757812
739,7.961255073547363
740,7.774197101593018
741,7.659090518951416
742,8.928531646728516
743,6.466705799102783
744,8.821242332458496
745,10.585413932800293
746,5.716172218322754
747,7.961479663848877
748,8.755417823791504
749,7.329179763793945
750,7.6389336585998535
751,8.393150329589844
752,8.596652030944824
753,6.3690505027771
754,10.242698669433594
755,6.730743408203125
756,6.761641502380371
757,8.239546775817871
758,10.055639266967773
759,7.5414934158325195
760,9.032207489013672
761,7.6582465171813965
762,7.6236395835876465
763,7.086668968200684
764,7.669394493103027
765,7.373746395111084
766,6.650873184204102
767,6.336822509765625
768,5.775656700134277
769,7.933962821960449
770,7.049133777618408
771,6.206030368804932
772,6.674755096435547
773,7.209537982940674
774,7.173940658569336
775,7.78059720993042
776,7.133467674255371
777,8.508539199829102
778,6.646412372589111
779,8.382752418518066
780,6.6698737144470215
781,6.504371643066406
782,7.994558334350586
783,6.6719865798950195
784,5.777744293212891
785,6.085926055908203
786,7.542471885681152
787,5.810676097869873
788,6.965342044830322
789,7.019925594329834
790,8.766439437866211
791,6.668421268463135
792,6.527042388916016
793,10.52829647064209
794,7.259773254394531
795,10.048870086669922
796,8.766661643981934
797,7.149937629699707
798,7.437748908996582
799,7.440995216369629
800,6.961802959442139
801,7.912219047546387
802,6.784367561340332
803,5.00796365737915
804,6.775002956390381
