Iteration,Loss
0,9824.8994140625
1,9323.923828125
2,10002.7900390625
3,9843.841796875
4,9352.626953125
5,8938.7353515625
6,10835.884765625
7,11563.021484375
8,9046.8232421875
9,9555.16796875
10,10859.5625
11,9351.283203125
12,10324.5185546875
13,10122.47265625
14,11110.96875
15,9552.1474609375
16,12675.8701171875
17,8215.5029296875
18,11460.0625
19,7508.1982421875
20,9617.423828125
21,9078.947265625
22,10254.763671875
23,10527.2138671875
24,9144.8759765625
25,12067.2734375
26,8544.4873046875
27,9028.5732421875
28,9727.78125
29,10028.4130859375
30,11179.5888671875
31,9388.46484375
32,9927.9365234375
33,10388.994140625
34,11643.177734375
35,9555.3896484375
36,10371.978515625
37,10795.595703125
38,12393.798828125
39,8464.138671875
40,9687.935546875
41,9852.142578125
42,11262.01171875
43,8287.841796875
44,10688.021484375
45,9606.55078125
46,8812.251953125
47,10391.5458984375
48,12560.0908203125
49,11290.837890625
50,8323.6337890625
51,9263.376953125
52,11815.7255859375
53,11276.169921875
54,9700.4814453125
55,9752.5185546875
56,9694.1875
57,10593.748046875
58,9125.2333984375
59,11322.3076171875
60,9980.2255859375
61,8590.63671875
62,10785.62890625
63,9166.08203125
64,9917.2412109375
65,11228.904296875
66,9507.8505859375
67,9245.271484375
68,12027.4404296875
69,9282.3837890625
70,8236.2451171875
71,10659.68359375
72,8950.1943359375
73,10098.0712890625
74,8949.630859375
75,12031.935546875
76,7962.86083984375
77,8642.359375
78,8575.701171875
79,9285.0234375
80,8269.97265625
81,9787.990234375
82,9113.4296875
83,9981.068359375
84,8633.0478515625
85,7282.3330078125
86,7359.78955078125
87,9045.56640625
88,7323.00439453125
89,7628.9462890625
90,7516.13427734375
91,8117.9853515625
92,11741.6357421875
93,7965.2587890625
94,7718.88330078125
95,8509.4697265625
96,6911.18798828125
97,6978.51806640625
98,8024.43310546875
99,7854.06787109375
100,8618.3095703125
101,6356.94189453125
102,6902.82958984375
103,9188.2314453125
104,7771.748046875
105,6991.81201171875
106,8683.0478515625
107,7286.1064453125
108,6978.7880859375
109,8882.38671875
110,7675.9248046875
111,6925.263671875
112,6994.45849609375
113,6676.248046875
114,7569.6796875
115,7364.85595703125
116,6089.85107421875
117,5879.25244140625
118,4938.07080078125
119,5146.6396484375
120,7803.50390625
121,8114.88623046875
122,6009.67431640625
123,6173.1181640625
124,4915.55029296875
125,6666.19287109375
126,6025.5107421875
127,7108.66015625
128,6344.72705078125
129,5409.38671875
130,5025.1748046875
131,6300.1611328125
132,5840.5615234375
133,6605.52197265625
134,5390.67236328125
135,7277.97509765625
136,5866.828125
137,5963.21044921875
138,6921.34619140625
139,6685.4072265625
140,4640.76806640625
141,5004.13232421875
142,6098.814453125
143,6644.60888671875
144,5444.275390625
145,6612.90869140625
146,4730.1171875
147,4300.21826171875
148,4239.57373046875
149,4356.49462890625
150,5325.25439453125
151,4040.27197265625
152,4378.12939453125
153,4419.83837890625
154,3742.794921875
155,3648.282958984375
156,5077.84521484375
157,4452.86279296875
158,3532.002685546875
159,3946.828369140625
160,3809.33056640625
161,4458.759765625
162,3260.15087890625
163,3177.927001953125
164,3656.69189453125
165,3189.79443359375
166,2436.456298828125
167,2765.03466796875
168,2642.390869140625
169,3243.427490234375
170,1880.523193359375
171,2123.0556640625
172,1871.1710205078125
173,1990.6014404296875
174,1737.108154296875
175,1998.028076171875
176,2640.5263671875
177,1377.22998046875
178,2100.71044921875
179,1826.138916015625
180,1724.8662109375
181,1506.8785400390625
182,1630.3604736328125
183,1487.573974609375
184,1721.4354248046875
185,1505.10546875
186,1369.82080078125
187,1326.22119140625
188,1324.0479736328125
189,1389.285400390625
190,1254.1260986328125
191,1060.16455078125
192,933.5211181640625
193,1090.421630859375
194,852.0550537109375
195,955.8960571289062
196,925.8383178710938
197,991.0885009765625
198,980.6604614257812
199,997.1546630859375
200,784.998046875
201,1045.277099609375
202,1194.2601318359375
203,694.0382690429688
204,566.238037109375
205,483.8282165527344
206,579.0866088867188
207,640.2521362304688
208,536.7184448242188
209,464.971435546875
210,531.165283203125
211,507.03033447265625
212,618.36767578125
213,449.6202697753906
214,393.2296447753906
215,419.861572265625
216,447.9989929199219
217,385.34375
218,524.9597778320312
219,392.0370178222656
220,408.27276611328125
221,354.47357177734375
222,436.0893859863281
223,468.2657165527344
224,389.17901611328125
225,339.8360595703125
226,309.40594482421875
227,246.76988220214844
228,263.8421630859375
229,276.1762390136719
230,242.0198211669922
231,300.94171142578125
232,276.9952087402344
233,300.9937438964844
234,221.7144012451172
235,243.92640686035156
236,258.6737976074219
237,250.39816284179688
238,245.24530029296875
239,173.86805725097656
240,256.0722961425781
241,256.91448974609375
242,263.9577941894531
243,227.41578674316406
244,189.44976806640625
245,210.23202514648438
246,230.00814819335938
247,189.3395233154297
248,220.5832977294922
249,173.26577758789062
250,157.48214721679688
251,209.96115112304688
252,214.6549072265625
253,196.74542236328125
254,181.03501892089844
255,180.04861450195312
256,198.7659454345703
257,207.70347595214844
258,143.73338317871094
259,130.19485473632812
260,149.6244354248047
261,174.69635009765625
262,180.47665405273438
263,150.1005096435547
264,166.88734436035156
265,148.7169647216797
266,132.5312042236328
267,124.01042175292969
268,157.3734893798828
269,155.31484985351562
270,142.5555419921875
271,112.10830688476562
272,147.68115234375
273,125.6559066772461
274,126.98870086669922
275,119.90164184570312
276,155.04014587402344
277,117.48518371582031
278,129.33741760253906
279,120.89109802246094
280,130.21771240234375
281,129.35818481445312
282,102.25143432617188
283,92.43009948730469
284,108.2914047241211
285,108.15213775634766
286,107.97064208984375
287,125.27113342285156
288,101.36504364013672
289,91.04215240478516
290,98.75595092773438
291,105.7032470703125
292,97.62600708007812
293,86.7748031616211
294,115.25772094726562
295,99.64848327636719
296,105.36129760742188
297,96.47798156738281
298,94.17340087890625
299,81.51895904541016
300,73.56190490722656
301,87.66183471679688
302,69.8480224609375
303,98.42691802978516
304,86.76461029052734
305,95.98218536376953
306,83.6314697265625
307,97.9271240234375
308,75.8561782836914
309,74.98587799072266
310,83.54153442382812
311,91.39602661132812
312,77.88102722167969
313,85.46774291992188
314,81.85578918457031
315,75.29346466064453
316,87.23619842529297
317,77.484130859375
318,83.31550598144531
319,72.43135833740234
320,74.68402862548828
321,98.5303726196289
322,71.52578735351562
323,76.17474365234375
324,77.706787109375
325,72.16419982910156
326,84.91426849365234
327,88.03557586669922
328,76.01127624511719
329,64.82677459716797
330,76.6469497680664
331,78.45135498046875
332,72.10328674316406
333,68.62446594238281
334,74.66968536376953
335,65.3239517211914
336,78.10966491699219
337,80.5365219116211
338,61.917144775390625
339,58.169063568115234
340,65.44589233398438
341,63.07075881958008
342,77.29422760009766
343,60.55673599243164
344,73.30079650878906
345,60.753726959228516
346,53.766632080078125
347,60.92700958251953
348,71.324462890625
349,50.36122512817383
350,60.4256477355957
351,54.313926696777344
352,60.70642852783203
353,58.5876350402832
354,57.3110466003418
355,72.68685150146484
356,58.56788635253906
357,68.34269714355469
358,56.68788528442383
359,49.339962005615234
360,61.595523834228516
361,64.20994567871094
362,54.52126693725586
363,53.03733444213867
364,62.081851959228516
365,59.71291732788086
366,61.025840759277344
367,53.90708541870117
368,62.43092727661133
369,45.15700149536133
370,53.90787124633789
371,55.04856872558594
372,53.281002044677734
373,57.31207275390625
374,52.26122283935547
375,48.47235870361328
376,60.775875091552734
377,43.72748565673828
378,53.85107421875
379,42.11992263793945
380,56.841243743896484
381,54.95577621459961
382,49.51274871826172
383,52.66075134277344
384,45.37501525878906
385,46.59567642211914
386,49.910682678222656
387,40.45349884033203
388,46.51030731201172
389,46.116214752197266
390,41.0552864074707
391,48.287715911865234
392,48.45028305053711
393,44.99623107910156
394,40.837772369384766
395,47.886680603027344
396,51.14863204956055
397,42.71685028076172
398,34.56351852416992
399,42.370086669921875
400,58.671974182128906
401,40.4267692565918
402,34.40926742553711
403,44.45623779296875
404,54.369598388671875
405,44.68278121948242
406,40.706993103027344
407,46.135581970214844
408,35.10625457763672
409,41.47659683227539
410,40.319828033447266
411,43.449188232421875
412,42.00181579589844
413,46.7812614440918
414,37.572021484375
415,38.48854446411133
416,41.43011474609375
417,32.6317138671875
418,38.86742401123047
419,36.70200729370117
420,39.01025390625
421,39.97309494018555
422,41.22819900512695
423,34.773094177246094
424,43.87974548339844
425,34.135623931884766
426,36.78299331665039
427,38.73137664794922
428,35.208133697509766
429,33.828922271728516
430,38.417625427246094
431,40.98454666137695
432,33.711204528808594
433,28.293596267700195
434,39.3206787109375
435,37.66300964355469
436,35.00224304199219
437,31.682937622070312
438,38.10005187988281
439,35.207584381103516
440,28.65244483947754
441,28.94580841064453
442,28.21903419494629
443,29.271265029907227
444,33.199710845947266
445,28.50897789001465
446,26.63448143005371
447,27.365930557250977
448,38.6367073059082
449,32.547054290771484
450,33.32649230957031
451,25.456707000732422
452,27.349166870117188
453,28.137645721435547
454,28.839698791503906
455,22.644412994384766
456,22.241199493408203
457,31.565216064453125
458,27.55816078186035
459,31.513505935668945
460,20.166166305541992
461,28.269519805908203
462,30.054052352905273
463,22.530149459838867
464,23.839494705200195
465,23.073389053344727
466,23.523815155029297
467,23.082508087158203
468,26.51313591003418
469,18.62035369873047
470,27.252107620239258
471,20.718263626098633
472,23.3238468170166
473,24.277667999267578
474,22.138916015625
475,21.826013565063477
476,27.345216751098633
477,24.9183406829834
478,27.203800201416016
479,25.11610984802246
480,19.892213821411133
481,23.361888885498047
482,18.799301147460938
483,25.716373443603516
484,23.295303344726562
485,23.92046356201172
486,25.957998275756836
487,23.795488357543945
488,24.56760597229004
489,25.156143188476562
490,23.330913543701172
491,21.032123565673828
492,23.732786178588867
493,23.040325164794922
494,27.094207763671875
495,19.03821563720703
496,21.418445587158203
497,20.05482292175293
498,17.107318878173828
499,21.42754554748535
500,20.673185348510742
501,17.29500961303711
502,21.75522804260254
503,20.980480194091797
504,19.10179328918457
505,20.69287872314453
506,19.919912338256836
507,19.27873992919922
508,19.882808685302734
509,18.226512908935547
510,18.653841018676758
511,17.01662254333496
512,17.11606788635254
513,19.544904708862305
514,16.383777618408203
515,22.79846954345703
516,19.231014251708984
517,25.67180633544922
518,22.13494873046875
519,21.192352294921875
520,18.396780014038086
521,19.57760238647461
522,21.25887680053711
523,20.143932342529297
524,20.528188705444336
525,17.546825408935547
526,15.54738712310791
527,19.91208267211914
528,16.501447677612305
529,18.265499114990234
530,17.711925506591797
531,24.51691246032715
532,16.432540893554688
533,18.776323318481445
534,17.270307540893555
535,19.017595291137695
536,17.067214965820312
537,18.593408584594727
538,14.393343925476074
539,16.918766021728516
540,19.036725997924805
541,17.45630645751953
542,15.94631290435791
543,19.75166130065918
544,19.124774932861328
545,15.653697967529297
546,19.826366424560547
547,18.2777099609375
548,15.332842826843262
549,18.78532600402832
550,17.132890701293945
551,15.220701217651367
552,15.90948486328125
553,12.926107406616211
554,15.625099182128906
555,19.442337036132812
556,14.330316543579102
557,15.439664840698242
558,15.096963882446289
559,19.4748592376709
560,16.934419631958008
561,16.59466552734375
562,15.007063865661621
563,16.73700714111328
564,17.601797103881836
565,14.153886795043945
566,15.585527420043945
567,16.14550018310547
568,15.311857223510742
569,16.18344497680664
570,15.629096031188965
571,14.648189544677734
572,16.12531280517578
573,13.187804222106934
574,12.288732528686523
575,14.25763988494873
576,16.272768020629883
577,15.430461883544922
578,11.614870071411133
579,14.631105422973633
580,15.171592712402344
581,14.988673210144043
582,12.611814498901367
583,14.065917015075684
584,14.349896430969238
585,14.767333030700684
586,14.702704429626465
587,16.719823837280273
588,14.673005104064941
589,14.279085159301758
590,14.077720642089844
591,13.805374145507812
592,12.61451530456543
593,14.749213218688965
594,13.286466598510742
595,11.992021560668945
596,12.682172775268555
597,12.035951614379883
598,13.792922973632812
599,15.998294830322266
600,12.046189308166504
601,13.139835357666016
602,15.482675552368164
603,16.5436954498291
604,15.915545463562012
605,16.05019760131836
606,15.853851318359375
607,15.359493255615234
608,13.627265930175781
609,11.702377319335938
610,13.015722274780273
611,17.06843376159668
612,11.468887329101562
613,16.179349899291992
614,15.331338882446289
615,10.642374992370605
616,12.17627239227295
617,13.12009334564209
618,12.86240005493164
619,11.156576156616211
620,12.248663902282715
621,13.367870330810547
622,11.007955551147461
623,11.598257064819336
624,10.646553993225098
625,15.409433364868164
626,12.300153732299805
627,13.30647087097168
628,13.120240211486816
629,16.582773208618164
630,15.240315437316895
631,13.137198448181152
632,15.027604103088379
633,13.217077255249023
634,11.60615348815918
635,12.121301651000977
636,10.598489761352539
637,10.472318649291992
638,14.522581100463867
639,12.1215181350708
640,12.234543800354004
641,14.7460298538208
642,12.019344329833984
643,10.293025970458984
644,13.729225158691406
645,28.268869400024414
646,12.11539077758789
647,26.700260162353516
648,18.388561248779297
649,10.080940246582031
650,26.627771377563477
651,11.224833488464355
652,11.083572387695312
653,14.078454971313477
654,15.583358764648438
655,10.929518699645996
656,9.650291442871094
657,12.106825828552246
658,10.284506797790527
659,12.545650482177734
660,10.535945892333984
661,13.956480026245117
662,13.61298942565918
663,9.851476669311523
664,13.687280654907227
665,15.01427936553955
666,12.09771728515625
667,11.705706596374512
668,13.801703453063965
669,9.561830520629883
670,10.711302757263184
671,16.115243911743164
672,9.885296821594238
673,12.434826850891113
674,11.739848136901855
675,16.003681182861328
676,9.906359672546387
677,15.304007530212402
678,13.26901912689209
679,10.188299179077148
680,10.972482681274414
681,11.898702621459961
682,12.521883010864258
683,11.169380187988281
684,9.041007995605469
685,12.450151443481445
686,11.871520042419434
687,10.112785339355469
688,11.776326179504395
689,12.566449165344238
690,10.741326332092285
691,12.550074577331543
692,9.077983856201172
693,9.688480377197266
694,11.17363166809082
695,13.388376235961914
696,11.983287811279297
697,10.990618705749512
698,9.785030364990234
699,10.71366024017334
700,11.713459014892578
701,10.291531562805176
702,10.521381378173828
703,12.37133502960205
704,8.980607986450195
705,9.27913761138916
706,9.707793235778809
707,10.372835159301758
708,8.433523178100586
709,9.459370613098145
710,10.780458450317383
711,10.581501960754395
712,9.414318084716797
713,9.01319408416748
714,10.36882209777832
715,9.67275619506836
716,10.666955947875977
717,10.578936576843262
718,9.697975158691406
719,9.767396926879883
720,16.327455520629883
721,9.921630859375
722,13.388568878173828
723,8.444059371948242
724,10.520915985107422
725,11.241955757141113
726,11.275301933288574
727,10.956084251403809
728,11.37288761138916
729,10.498085021972656
730,9.633499145507812
731,10.654906272888184
732,8.542115211486816
733,9.225875854492188
734,10.175211906433105
735,8.731643676757812
736,11.152609825134277
737,11.00805950164795
738,10.111859321594238
739,10.563810348510742
740,11.85913372039795
741,8.100381851196289
742,10.65731430053711
743,11.211647987365723
744,9.345802307128906
745,10.522835731506348
746,8.902291297912598
747,10.268770217895508
748,8.61683177947998
749,8.318203926086426
750,8.402207374572754
751,8.14256477355957
752,8.008113861083984
753,9.21844482421875
754,8.669666290283203
755,7.812318801879883
756,9.282693862915039
757,9.158154487609863
758,10.048606872558594
759,7.839733600616455
760,8.14223575592041
761,9.584748268127441
762,10.433547973632812
763,9.479498863220215
764,7.778878688812256
765,8.549649238586426
766,9.80245590209961
767,7.618034362792969
768,9.766674041748047
769,9.514400482177734
770,9.136868476867676
771,8.859267234802246
772,9.385239601135254
773,8.101719856262207
774,8.296528816223145
775,9.374120712280273
776,10.088692665100098
777,9.654107093811035
778,9.657663345336914
779,8.190168380737305
780,9.503729820251465
781,11.238229751586914
782,6.630245685577393
783,8.146503448486328
784,6.7952680587768555
785,8.443142890930176
786,7.71819543838501
787,7.78221321105957
788,9.759100914001465
789,7.9742431640625
790,7.107069969177246
791,9.709598541259766
792,9.736109733581543
793,8.690601348876953
794,9.213693618774414
795,7.638565540313721
796,9.297858238220215
797,8.04164981842041
798,8.162677764892578
799,8.1430082321167
800,11.16236400604248
801,10.062753677368164
802,6.976449489593506
803,11.237494468688965
804,8.801088333129883
805,8.815069198608398
806,7.7941765785217285
807,8.634073257446289
808,11.44379997253418
809,9.071222305297852
810,10.540447235107422
811,8.251241683959961
812,8.627564430236816
813,10.520410537719727
814,9.038691520690918
815,9.4852933883667
816,7.940114974975586
817,18.434675216674805
818,11.741511344909668
819,9.737603187561035
820,13.3989839553833
821,14.211861610412598
822,8.456955909729004
823,10.283427238464355
824,12.16690731048584
825,13.40872859954834
826,10.826774597167969
827,10.882569313049316
828,9.17313289642334
829,10.343042373657227
830,19.810375213623047
831,9.859230041503906
832,19.844345092773438
833,25.25675392150879
834,13.40062427520752
835,36.83164596557617
836,89.48030090332031
837,12.522421836853027
838,44.38249206542969
839,143.74839782714844
840,23.488065719604492
841,42.62630844116211
842,145.6936492919922
843,79.28692626953125
844,20.68705177307129
845,101.3927001953125
846,79.69166564941406
847,17.332984924316406
848,19.601919174194336
849,54.89762496948242
850,114.65811920166016
851,36.15058517456055
852,13.272109985351562
853,60.44685363769531
854,75.05236053466797
855,27.87690544128418
856,35.96718215942383
857,24.534616470336914
858,44.90400314331055
859,38.07981872558594
860,43.783546447753906
861,31.46546745300293
862,21.578689575195312
863,43.57695388793945
864,43.44618225097656
865,14.837319374084473
866,10.657617568969727
867,29.916290283203125
868,41.474365234375
869,21.013059616088867
870,11.507550239562988
871,15.879258155822754
872,65.38558197021484
873,18.616891860961914
874,12.280935287475586
875,20.223852157592773
876,28.23360252380371
877,31.12833023071289
878,28.463821411132812
879,22.879919052124023
880,31.337921142578125
881,17.043724060058594
882,21.803768157958984
883,32.393062591552734
884,28.96698570251465
885,8.109980583190918
886,37.037174224853516
887,19.830123901367188
888,18.584716796875
889,7.806863784790039
890,17.73126792907715
891,46.98293685913086
892,12.704544067382812
893,10.676445960998535
894,29.294815063476562
895,14.346282005310059
896,12.766509056091309
897,9.26984691619873
898,10.396177291870117
899,13.883569717407227
900,15.332134246826172
901,12.03983211517334
902,14.563882827758789
903,32.02016067504883
904,8.732053756713867
905,9.736310005187988
906,12.74482250213623
907,9.831811904907227
908,7.438206195831299
909,8.843469619750977
910,12.287447929382324
911,8.056802749633789
912,7.028860092163086
913,8.238232612609863
914,9.072112083435059
915,12.941417694091797
916,8.55909252166748
917,8.227362632751465
918,10.095375061035156
919,11.154040336608887
920,7.470589637756348
921,7.017055988311768
922,8.71658706665039
923,9.61636734008789
924,9.405399322509766
925,7.239919185638428
926,9.40837574005127
927,6.4997968673706055
928,7.670035362243652
929,5.766511917114258
930,7.301846504211426
931,5.7084832191467285
932,8.214683532714844
933,6.358388423919678
934,7.998272895812988
935,8.631104469299316
936,6.781641006469727
937,6.724633693695068
938,6.911748886108398
939,6.669349193572998
940,6.720760345458984
941,8.169609069824219
942,5.963318347930908
943,6.1407694816589355
944,5.936659812927246
945,5.6856584548950195
946,7.725165843963623
947,6.242740631103516
948,7.3660478591918945
949,5.700899600982666
950,7.291106224060059
951,6.49288272857666
952,6.756921768188477
953,5.872692584991455
954,5.628477573394775
955,5.863678455352783
956,6.691367149353027
957,6.45484733581543
958,6.455061912536621
959,5.658684253692627
960,7.283901214599609
961,6.249470233917236
962,6.258388996124268
963,6.58211612701416
964,6.808418273925781
965,6.26702880859375
966,6.4119720458984375
967,6.804343223571777
968,6.110481262207031
969,6.213850021362305
970,7.085304260253906
971,7.146091938018799
972,6.72936487197876
973,6.820216178894043
974,7.133991718292236
975,7.295088768005371
976,6.782089710235596
977,7.852425575256348
978,7.5933837890625
979,8.922879219055176
