model_type,network_structure,relative_error,k
PINN,7x50,0.23916946763748015,3
IA_PINN,7x50,0.017256828294041425,3
IAW_PINN,7x50,0.1898905931770153,3
I_PINN,7x50,0.004275277142552052,3
